This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Thu Jan 09 13:58:15 2025
Filter Values: disposition contains CP

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"89020549","132.01","","2","5","5","2","4","4","4","10.5","67.8","12.19","12","2","8","CP","CP","10.8061","0.006","1","spoc","UNKNOWN","338.399662","-43.436872","35.553","0.043","-53.055","0.054","2458326.902893","0.0008217284","2.1096848825453","0.0000066356783","2.1210828390895","0.2234417","1.436908","0.062857","1322.565718898","57.89131","3.5175747856179","0.9270777","644.21201320903","1284.9225602328","18.639763","163.678","0.987","5673","188","4.55383","0.4189","0.94080597162247","0.0527538","","","0.91","0.113124","1,28","TOI-132 b / TOI-132.01","2018-09-05","2021-12-01","2022-12-14"
"234994474","134.01","","1","5","5","5","4","1","4","11.3","15.5","2.74","7","5","9","CP","CP","9.22978","0.007","1","spoc-s01-s69-b0A-CP","SPOC/QLP","350.028592","-60.065729","-319.961","0.102","-127.781","0.115","2458326.034032","0.0005663934","1.4015182601658","0.0000048102324","1.158306136657","0.32550693","0.644852","0.04648","593.75409215611","42.808456","1.4616853132728","1.8385029","149.37475428315","891.6389885367","20.450527","25.1496","0.0239","3794","69","4.67812","0.063226","0.59700697660446","0.01815","","","0.58564","0.0205272","1,28,68","L 168-9 b","2018-09-05","2024-09-30","2024-10-01"
"267263253","135.01","","5","5","5","5","4","5","5","146.8","206.2","317","2","1","3","CP","CP","9.2205","0.006","1","qlp-s68-ffi","SPOC","7.328916","-76.304032","-2.97","0.037","6.961","0.031","2460174.637067","0.000188","4.1269046","8e-7","4.405","0.016","11.823757","0.037289","10831","34.3442","17.0952","0.698036","1436.49","1715","389","196.852","0.774","6888","204","4.23416","0.355654","1.59","0.06","","","1.46","0.249445","1,27,28,67,68","HD 2685b","2018-09-05","2023-11-16","2023-12-08"
"62483237","139.01","","1","4","1","5","4","3","1","3.9","69.2","6.07","9","9","7","CP","CP","9.3636","0.006","1","spoc-s01-s69-b0A-PC","SPOC/QLP","336.402414","-34.909713","26.43","0.071","-30.255","0.08","2458334.891563","0.0013814847","11.070857529664","0.0000277106","2.1937616584613","0.31063417","1.249025","0.099718","1149.7328034023","91.839714","2.3337648035252","1.646811","22.421906616094","554.99348424559","12.694616","42.4061","0.0763","4356","173","4.53491","0.3608","0.7007269859314","0.0575277","","","0.69","0.0852195","1,28,68","TOI-139 b","2018-09-05","2024-09-09","2024-10-01"
"403224672","141.01","","1","5","5","5","4","1","2","13.3","129","3.62","12","14","17","CP","CP","7.384","0.006","1","qlp-s68-ffi","SPOC","338.983717","-59.864829","-108.388","0.05","-84.419","0.064","2460178.671412","0.0016377","1.0082361","0.0000015","1.41","0.24","0.247576","0.013239","228","12.1939","1.7202","0.0924458","1882.94","1835","26","48.0883","0.0989","5795.29","44.5804","4.438","","1.13","0.05","","","1.04","0.129204","1,27,28,68","HD 213885 b","2018-09-05","2023-11-15","2023-12-08"
"261136679","144.01","","1","5","5","5","4","1","1","17.1","202.3","4.65","0","14","4","CP","CP","5.1054","0.006","1","qlp-s62-ffi","SPOC","84.29928","-80.464604","311.187","0.127","1048.84","0.136","2460011.550653","0.0028276","6.267832","0.0000229","2.789","0.237","0.348577","0.008096","321","7.45646","1.99779","0.0837751","203.434","1052","53","18.2702","0.0226","5950","","4.438","","1.15","0.05","0.0887839","0.00649598","1.1","0.140389","1,4,8,11,12,13,27,28,31,34,38,39,61,62","pi Men c","2019-05-07","2023-04-04","2023-04-07"
"271893367","150.01","","3","5","5","3","4","4","4","40.6","104.4","125.8","4","2","3","CP","CP","10.9031","0.006","1","spoc-s01-s39-b0A-CP","QLP","112.965421","-73.606036","-15.215","0.029","27.144","0.033","2459995.645628","0.0014220501","5.8574075375973","0.0000030940705","5.8548029293452","0.02472023","7.069098","0.029277","6489.7302345787","26.96511","13.889276153257","0.61632216","750.92202731432","1335.1143400762","157.52177","336.267","1.916","5982.9","108.8","4.03","0.08","1.6798700094223","0.0741256","0.211186","0.046085","1.1","0.141051","9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,39,61,62","TOI 150 b","2018-09-05","2023-10-05","2023-10-05"
"140691463","157.01","","3","5","5","3","4","4","4","70.6","155","119.01","8","1","1","CP","CP","12.0166","0.006","1","spoc-s01-s69-b0A-CP","QLP","73.70144","-76.680606","11.712","0.035","-18.922","0.05","2458543.338324","0.00006235237","2.084543417798","2.925569e-7","2.0170380386704","0.008200487","13.662544","0.047224","12504.825019001","43.493595","13.443270500024","0.7049504","1085.4942585558","1463.9513086939","371.14728","355.683","2.826","5638","133.9","4.35","0.08","1.1064599752426","0.0579346","","","1","0.132466","9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69","TOI-157b (Nielsen+2020)","2018-09-05","2024-02-14","2024-02-17"
"179317684","163.01","","3","5","5","3","4","4","4","49.3","55.8","317","4","0","3","CP","CP","10.8719","0.006","1","spoc-s01-s69-b0A-CP","QLP","79.768253","-71.895527","7.14","0.067","16.374","0.078","2458544.670293","0.00009975855","4.2311172621589","6.345285e-7","4.3531635432061","0.013488421","7.912593","0.021517","7261.2759360579","19.817411","14.626071109607","0.68786657","1489.1126253479","1584.351852601","371.85303","411.719","8.01","6671","130.6","4.14","0.09","1.6640199422836","0.0781055","","","1.41","0.244606","9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,68,69","TOI-163 b","2018-09-05","2024-02-14","2024-02-17"
"183120439","169.01","","3","5","5","3","4","4","4","39.7","105.1","85.34","6","1","2","CP","CP","11.788","0.006","1","spoc-s01-s36-b0A-CPKP","QLP","16.778688","-75.198945","20.225","0.05","-15.607","0.048","2459062.718052","0.0012657759","2.2554459223653","0.000004458845","1.6678604048114","0.04603705","5.751925","0.15637","5283.7103900699","144.01193","11.053529284219","0.5730389","1472.0095217439","1579.7828846785","34.75056","407.84","4.1945","5817","126.7","4.23","0.07","1.2966099977493","0.0621181","","","1.05","0.12634","13,27,28","TOI 169 b","2018-09-05","2022-10-17","2022-12-14"
