HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux,flux_err,Filter
2459727.77908,2022-05-28.2784753,bs,1.48,15.206,11.889,0.014,63.738,0.840,g
2459729.77291,2022-05-30.2724700,bs,1.57,15.606,11.843,0.014,66.499,0.835,g
2459729.77414,2022-05-30.2736990,bs,1.52,15.622,11.901,0.013,63.044,0.769,g
2459729.77536,2022-05-30.2749148,bs,1.54,15.646,11.945,0.014,60.545,0.759,g
2459731.71722,2022-06-01.2169244,bs,1.48,15.651,11.933,0.014,61.234,0.812,g
2459731.71845,2022-06-01.2181561,bs,1.52,15.728,12.034,0.014,55.762,0.739,g
2459731.71968,2022-06-01.2193854,bs,1.47,15.678,11.968,0.014,59.226,0.755,g
2459733.76916,2022-06-03.2690245,bs,1.43,15.648,11.959,0.014,59.752,0.764,g
2459733.77041,2022-06-03.2702745,bs,1.47,15.681,11.983,0.015,58.463,0.815,g
2459733.77165,2022-06-03.2715162,bs,1.43,15.628,11.898,0.013,63.202,0.744,g
2459738.75385,2022-06-08.2541054,bC,2.26,15.593,11.890,0.012,63.718,0.713,g
2459738.75509,2022-06-08.2553516,bC,2.25,15.650,11.904,0.012,62.869,0.693,g
2459738.75637,2022-06-08.2566211,bC,2.23,15.635,11.886,0.012,63.952,0.695,g
2459741.65165,2022-06-11.1521335,bs,1.54,14.969,11.888,0.018,63.783,1.055,g
2459741.65288,2022-06-11.1533636,bs,1.37,14.829,11.900,0.019,63.061,1.098,g
2459741.65412,2022-06-11.1546019,bs,1.95,13.863,11.703,0.039,75.708,2.734,g
2459743.65044,2022-06-13.1510782,bs,1.44,14.945,11.849,0.020,66.181,1.182,g
2459743.65167,2022-06-13.1523070,bs,1.51,14.980,11.834,0.017,67.112,1.052,g
2459743.65291,2022-06-13.15355,bs,1.57,14.991,11.921,0.020,61.925,1.126,g
2459750.78165,2022-06-20.2828401,bC,2.00,15.732,11.897,0.012,63.259,0.701,g
2459750.78292,2022-06-20.2840987,bC,1.79,15.744,11.893,0.012,63.461,0.693,g
2459750.78417,2022-06-20.2853592,bC,1.83,15.719,11.883,0.012,64.107,0.721,g
2459750.79312,2022-06-20.2943109,bC,1.79,15.745,11.903,0.012,62.948,0.720,g
2459750.79439,2022-06-20.2955693,bC,1.86,15.728,11.886,0.012,63.937,0.738,g
2459750.79563,2022-06-20.2968123,bC,1.86,15.729,11.886,0.012,63.948,0.723,g
2459752.69980,2022-06-22.2011317,bs,1.43,15.578,11.866,0.013,65.110,0.773,g
2459752.70103,2022-06-22.2023651,bs,1.46,15.563,11.882,0.014,64.154,0.855,g
2459752.70227,2022-06-22.2036028,bs,1.46,15.509,11.986,0.016,58.303,0.881,g
2459755.70510,2022-06-25.2066598,bs,1.44,15.518,11.923,0.011,61.737,0.632,g
2459755.70633,2022-06-25.2078900,bs,1.48,15.563,11.922,0.016,61.822,0.919,g
2459755.70755,2022-06-25.2091115,bs,1.47,15.522,11.878,0.012,64.385,0.668,g
2459757.69992,2022-06-27.2016280,bs,1.44,15.645,11.916,0.012,62.134,0.699,g
2459757.70116,2022-06-27.2028651,bs,1.44,15.634,11.900,0.012,63.132,0.711,g
2459757.70239,2022-06-27.2040939,bs,1.45,15.647,11.922,0.012,61.796,0.708,g
2459760.75965,2022-06-30.2615843,bC,1.65,15.758,11.898,0.013,63.233,0.746,g
2459760.76091,2022-06-30.2628355,bC,1.65,15.743,11.906,0.013,62.711,0.773,g
2459760.76217,2022-06-30.2641010,bC,1.68,15.744,11.923,0.013,61.780,0.754,g
2459762.66466,2022-07-02.1667178,bs,1.48,15.612,11.855,0.013,65.763,0.756,g
2459762.66590,2022-07-02.1679582,bs,1.45,15.601,11.858,0.012,65.555,0.746,g
2459762.66714,2022-07-02.1691988,bs,1.45,15.605,11.909,0.012,62.583,0.695,g
2459769.64424,2022-07-09.1467725,bs,1.54,15.261,11.921,0.018,61.868,1.007,g
2459769.64547,2022-07-09.1480062,bs,1.53,15.207,11.867,0.020,65.079,1.179,g
2459769.64668,2022-07-09.1492233,bs,1.62,15.118,11.800,0.016,69.184,1.010,g
2459771.64617,2022-07-11.1488444,bs,1.47,14.606,11.911,0.025,62.444,1.430,g
2459771.64741,2022-07-11.1500884,bs,1.53,14.682,11.746,0.024,72.778,1.575,g
2459771.64865,2022-07-11.1513254,bs,1.89,14.749,12.037,0.025,55.625,1.252,g
2459773.63721,2022-07-13.1400177,bs,1.97,14.206,11.671,0.030,77.959,2.122,g
2459773.63845,2022-07-13.1412476,bs,1.92,14.797,12.152,0.036,50.040,1.676,g
2459773.63968,2022-07-13.1424839,bs,1.92,14.209,11.784,0.030,70.221,1.911,g
